"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-sep 4","listingCard__spec-label 5","listingCard__spec-item 5","listingCard__location","he-lazy-image src","listingCard__owner-firm","wp-btn-label","listingCard__owner-name","he-lazy-image src 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/aydin-kusadasi-ikicesmelik-kiralik/daire/87636-712","1 / 24","31.500","10/09/2026","Kuşadası'nda Doğalgazlı Kiralik 1+1 Loft Daire.","Kiralık Daire","1 + 1","75 m²","2 Yaşında","·","Kat","Bahçe Katı","Aydın / Kuşadası / İkiçeşmelik Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/6/7/8/0/8793ba6d-b4c9-4e78-b532-951b9ad39df0.jpg","Poslend Group","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-kusadasi-turkmen-kiralik/daire/87636-710","1 / 20","27.000","10/09/2026","Kiralık 1+1 Eşyalı Daire Aıdat Yok","Kiralık Daire","1 + 1","57 m²","10 Yaşında","·","Kat","Giriş Katı","Aydın / Kuşadası / Türkmen Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/6/7/8/0/8793ba6d-b4c9-4e78-b532-951b9ad39df0.jpg","Poslend Group","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-efeler-mimar-sinan-kiralik/daire/30430-2041","1 / 17","57.500","17/08/2026","Mimar Sinan Mh. Kiralık Dublex Lüx Daire 57.500 Tl","Kiralık Daire","5 + 1","260 m²","4 Yaşında","·","Kat","3. Kat","Aydın / Efeler / Mimar Sinan Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/3/4/0/3/0/05703ce2-f1fe-44a5-bb22-d222a82429a1.jpg","Doğu Emlak","WhatsApp","Adnan
                  Avcı","",""
"https://www.hepsiemlak.com/aydin-efeler-zafer-kiralik/daire/71291-2960","1 / 20","28.000","08/09/2026","Gazi Emlak’tan Zafer Mah’de 2+1 Açık Mutfaklı Ful Eşyalı Doğalgazlı Daire Kiralıktır.","Kiralık Daire","2 + 1","90 m²","Sıfır Bina","·","Kat","2. Kat","Aydın / Efeler / Zafer Mah.","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/5/8/7/1/1/7/4/1786613488-349179-47117856.jpeg","Gazi Emlak","WhatsApp","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/9/2/1/7/0/3c55a791-3353-4bea-b787-0553ff45f27b.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-girne-kiralik/daire/80999-9","1 / 60","47.000","08/09/2026","Girne Mah. De 4+1 200m2 Geniş Ferah Kiralık Daire","Kiralık Daire","4 + 1","200 m²","15 Yaşında","·","Kat","En Üst Kat","Aydın / Efeler / Girne Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Materyal Gayrimenkul","WhatsApp","Servet 
                  Temiz","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-kusadasi-degirmendere-kiralik/daire/169284-2","1 / 25","50.000","10/09/2026","Kuşadası Çevre Yoluna Sıfır Yeni Kiralık İş Yeri Veya Daire","Kiralık Daire","2 + 1","125 m²","1 Yaşında","·","Kat","2. Kat","Aydın / Kuşadası / Değirmendere Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Evora Lıvıng","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-kusadasi-cumhuriyet-kiralik/daire/38579-274","1 / 49","30.000","10/09/2026","Aydının Merkezinde 3+1 Asansörlü Merkezi Sistem Isıtmalı Arakat Ebebeyn Banyolu 2 Balkonlu Daire","Kiralık Daire","3 + 1","145 m²","29 Yaşında","·","Kat","Ara Kat","Aydın / Kuşadası / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Libero Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-cine-hamitabat-kiralik/daire/122453-206","1 / 24","20.000","07/09/2026","Çine Merkezde Sıfır Yerden Isıtmalı Kiralık Ara Kat 2+0","Kiralık Daire","2 + 0","90 m²","Sıfır Bina","·","Kat","1. Kat","Aydın / Çine / Hamitabat Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-kusadasi-cumhuriyet-kiralik/daire/78233-6042","1 / 42","30.000","10/09/2026","Merkezi Konumda Kapalı Otopark-Yeni Ve Lüx Yapım - 1+1 Kıralık  Daire","Kiralık Daire","1 + 1","58 m²","1 Yaşında","·","Kat","2. Kat","Aydın / Kuşadası / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","A_class Gayrimenkul&inşaat","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-didim-hisar-kiralik/daire/131853-790","1 / 21","25.000","10/09/2026","Didim Hisarda Kiralık Boş Daire","Kiralık Daire","3 + 1","150 m²","11 Yaşında","·","Kat","Bahçe Katı","Aydın / Didim / Hisar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Narin İnşaat Emlak","WhatsApp","Aslı
                  Kula","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-kusadasi-turkmen-kiralik/daire/140705-259","1 / 23","45.000","10/09/2026","Kuşadası Marina'da Müstakil Havuzlu 1+1 Bahçeli Daire","Kiralık Daire","1 + 1","75 m²","1 Yaşında","·","Kat","Zemin","Aydın / Kuşadası / Türkmen Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ada Project Estate","WhatsApp","Soner
                  Kaya","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-kusadasi-ikicesmelik-kiralik/daire/114395-3751","1 / 38","35.000","10/09/2026","Kuşadası Merkezde 2+1 Temiz Lüks Eşyalı Daire Kiralıktır","Kiralık Daire","2 + 1","100 m²","8 Yaşında","·","Kat","3. Kat","Aydın / Kuşadası / İkiçeşmelik Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Emlak Adası Kuşadası","WhatsApp","Emlak
                  Adası","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg"
"https://www.hepsiemlak.com/aydin-didim-yeni-kiralik/daire/115151-969","1 / 37","37.000","10/09/2026","Aydın Didim Kiralık Ön Cephe Geniş Verandalı Asansörlü 3+1 Dubleks","Kiralık Daire","3 + 1","110 m²","7 Yaşında","·","Kat","Bahçe Katı","Aydın / Didim / Yeni Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","İgs Group","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-efeler-kiralik/daire/32184-1287","1 / 32","70.000","10/09/2026","Aydın Kiralık 6+1 Dubleks Üst Efeler Mahallesi Cadde Üzeri","Kiralık Daire","6 + 1","300 m²","8 Yaşında","·","Kat","5. Kat","Aydın / Efeler / Efeler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Dervişoğlu Berke Emlak","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-kusadasi-ikicesmelik-kiralik/daire/148837-1960","1 / 5","25.000","10/09/2026","Kuşadası Eşin Vadi Sitesi'de Doğa İçinde Kiralık 2+1 Daire","Kiralık Daire","2 + 1","74 m²","2 Yaşında","·","Kat","3. Kat","Aydın / Kuşadası / İkiçeşmelik Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Pasha 1","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-nazilli-zafer-kiralik/daire/137179-598","1 / 35","42.000","10/09/2026","Miray Emlaktan Zafer Mahallesinde Kiralık 3+1 Daire","Kiralık Daire","3 + 1","175 m²","6 Yaşında","·","Kat","5. Kat","Aydın / Nazilli / Zafer Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-soke-celtikci-kiralik/daire/117333-854","1 / 3","22.500","10/09/2026","Söke Çeltikçi Mah.De 2+1 Kiralık Daire","Kiralık Daire","2 + 1","90 m²","6 Yaşında","·","Kat","Yüksek Giriş","Aydın / Söke / Çeltikçi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Realty World Priene Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-soke-ataturk-kiralik/daire/164439-61","1 / 16","40.000","10/09/2026","Kiralık Harika Konumda Full Eşyalı","Kiralık Daire","4 + 1","210 m²","26 Yaşında","·","Kat","4. Kat","Aydın / Söke / Atatürk Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Yurt Yapı Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-istiklal-kiralik/daire/40599-4581","1 / 46","25.000","10/09/2026","Hb'den 2+1 Kiralık Daire, Doğalgazlı, Ayrı Mutfak, Asansörlü, Otoparklı","Kiralık Daire","2 + 1","100 m²","5 Yaşında","·","Kat","2. Kat","Aydın / Efeler / İstiklal Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Hb Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-kusadasi-kadinlar-denizi-kiralik/daire/28110-16330","1 / 19","27.000","10/09/2026","Kuşadası Kadınlar Denizi Eşyalı Kiralık 2 Oda 1 Salon Daire","Kiralık Daire","2 + 1","100 m²","38 Yaşında","·","Kat","En Üst Kat","Aydın / Kuşadası / Kadınlar Denizi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Pasha 1","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-guzelhisar-kiralik/daire/77072-3508","1 / 14","22.000","10/09/2026","Eab’den Aydın Efeler Güzelhisar Mahallesi’nde | Sıfır Binada | 2+0 | 70 M² | 3. Kat | Yerden Isıtma","Kiralık Daire","2 + 0","70 m²","Sıfır Bina","·","Kat","3. Kat","Aydın / Efeler / Güzelhisar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Eab Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-kusadasi-cumhuriyet-kiralik/daire/114395-3019","1 / 24","28.000","10/09/2026","Kuşadası Çarşıya Yakın Konumda Geniş Temiz Eşyalı 1+1 Daire Kiralıktır","Kiralık Daire","1 + 1","65 m²","10 Yaşında","·","Kat","3. Kat","Aydın / Kuşadası / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Emlak Adası Kuşadası","WhatsApp","Emlak
                  Adası","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg"
"https://www.hepsiemlak.com/aydin-efeler-guzelhisar-kiralik/daire/32184-1281","1 / 13","18.000","10/09/2026","Aydın Kiralık 2+0 Güzelhisar Mahallesi Doğalgazlı","Kiralık Daire","2 + 0","65 m²","10 Yaşında","·","Kat","1. Kat","Aydın / Efeler / Güzelhisar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Dervişoğlu Berke Emlak","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-hasanefendi-ramazan-pasa-kiralik/daire/64143-2319","1 / 33","31.000","10/09/2026","Aydın Hasan Efendi Mahallesi'nde Kiralık 4+1 Eşyalı Daire","Kiralık Daire","4 + 1","170 m²","15 Yaşında","·","Kat","1. Kat","Aydın / Efeler / Hasanefendi - Ramazan Paşa Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Alp Gayrimenkul","WhatsApp","Fevzi
                  Köse","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-efeler-efeler-kiralik/daire/162341-62","1 / 29","40.000","09/09/2026","Kiralık Daire Efeler Mah Harika Konumda","Kiralık Daire","3 + 1","180 m²","6 Yaşında","·","Kat","1. Kat","Aydın / Efeler / Efeler Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/4/3/2/6/1/42ccc2cf-f295-44f9-b9dd-bcb303e2cd19.jpg","Gündem Gayrimenkul","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-didim-altinkum-kiralik/daire/148098-1262","1 / 25","38.000","09/09/2026","Altınkum Mahallesi'nde Kiralık Asansörlü 2+1 Arakat Daire","Kiralık Daire","2 + 1","85 m²","6 Yaşında","·","Kat","4. Kat","Aydın / Didim / Altınkum Mah.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/9/0/8/4/1/1211384d-a771-43c7-8f6b-6cdf799df1da.jpg","Remax Cool","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-kusadasi-alacamescit-kiralik/daire/139599-94","1 / 26","27.000","10/09/2026","Kuşadası Kiralık 2+1 Eşyalı Daire","Kiralık Daire","2 + 1","110 m²","30 Yaşında","·","Kat","1. Kat","Aydın / Kuşadası / Alacamescit Mah.","","","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-kusadasi-degirmendere-kiralik/villa/88932-1054","1 / 37","40.000","09/09/2026","Aydın/kuşadası'nda  Denize Yakın/doğalgaz Kombili/ Çok Temiz Eşyalı Bakımlı  Villa","Kiralık Villa","3 + 1","250 m²","15 Yaşında","·","Kat","","Aydın / Kuşadası / Değirmendere Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/8/8/4/5/6/4/1777919958373-46548805.jpg","İda Ege Emlak","WhatsApp","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/9/8/8/0/49bddcee-0b75-4a7f-aad7-6a76d48891ea.jpg",""
"https://www.hepsiemlak.com/aydin-didim-hisar-kiralik/daire/38648-4134","1 / 27","30.000","09/09/2026","Didim Hisar Mahalesinde Kiralık Eşyalı 2+1 Ayrı Mutfak Daire","Kiralık Daire","2 + 1","84 m²","6 Yaşında","·","Kat","1. Kat","Aydın / Didim / Hisar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","S Realty Zeytin","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-nazilli-isabeyli-kiralik/daire/163514-34","1 / 23","12.000","10/09/2026","İsabeyli Kampüse 300 Metre Eşyalı Kiralık 1+1","Kiralık Daire","1 + 1","55 m²","7 Yaşında","·","Kat","En Üst Kat","Aydın / Nazilli / İsabeyli Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","WhatsApp","","",""
"https://www.hepsiemlak.com/aydin-efeler-kurtulus-kiralik/daire/77072-3506","1 / 13","18.000","09/09/2026","Eab'den Aydın / Efeler Kurtuluş Mahallesi’nde Merkezi Konumda Doğalgazlı 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","39 Yaşında","·","Kat","Yüksek Giriş","Aydın / Efeler / Kurtuluş Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Eab Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-kusadasi-camikebir-kiralik/daire/143901-331","1 / 14","20.000","10/09/2026","Kuşadası Merkezde Sahile Yürüme Mesafesi Kiralıķ 3+1daire","Kiralık Daire","3 + 1","150 m²","35 Yaşında","·","Kat","En Üst Kat","Aydın / Kuşadası / Camikebir Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Network Ada Plus Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-orta-kiralik/daire/162341-53","1 / 12","14.000","09/09/2026","Aydın Efeler Orta Mahallesi'nde Kiralık Daire","Kiralık Daire","1 + 1","50 m²","6 Yaşında","·","Kat","1. Kat","Aydın / Efeler / Orta Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Gündem Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-zafer-kiralik/daire/77072-3501","1 / 12","20.000","09/09/2026","Eab’den Aydın / Efeler Zafer Mahallesi’nde Asansörlü, Doğalgazlı, Klimalı Eşyalı 1+1 Kiralık Daire","Kiralık Daire","1 + 1","60 m²","10 Yaşında","·","Kat","1. Kat","Aydın / Efeler / Zafer Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Eab Gayrimenkul","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-efeler-kemer-kiralik/daire/64143-2865","1 / 19","52.000","09/09/2026","Aydın Kiralık Kemer Mah. Lüks 3+1","Kiralık Daire","3 + 1","170 m²","6 Yaşında","·","Kat","3. Kat","Aydın / Efeler / Kemer Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Alp Gayrimenkul","WhatsApp","Fevzi
                  Köse","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/aydin-efeler-guzelhisar-kiralik/daire/19625-6334","1 / 11","18.000","09/09/2026","Aydın Ege Emlak'tan Güzelgisar Mah. Öğrenciye Uygun 3+1 120m2 Kiralık Daire","Kiralık Daire","3 + 1","125 m²","25 Yaşında","·","Kat","1. Kat","Aydın / Efeler / Güzelhisar Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ege Emlak","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/aydin-didim-yeni-kiralik/daire/99698-749","1 / 7","25.000","09/09/2026","Didim'de Kiralık Atatürk Bulvarı Üzerinde 2+1 Ayrı Mutfak Geniş Büyük Daire !","Kiralık Daire","2 + 1","95 m²","15 Yaşında","·","Kat","1. Kat","Aydın / Didim / Yeni Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ct Gayrimenkul Real Estate","WhatsApp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
